HMS Property ID,Dispose Date,Address Line1,Address Line2,City,County,Post Code,Locality1,Locality2,Locality3,Locality4,DwellingCode,post_preamble
ALLENDER0002,NULL, Flat 2 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 2
ALLENDER0003,NULL, Flat 3 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 3
ALLENDER0004,NULL, Flat 4 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 4
ALLENDER0005,NULL, Flat 5 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 5
ALLENDER0006,NULL, Flat 6 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 6
ALLENDER0007,NULL, Flat 7 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 7
ALLENDER0008,NULL, Flat 8 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 8
ALLENDER0009,NULL, Flat 9 Allender Court,Riverside Close,Romford                                           ,Essex                                             ,RM1 1EF,EF ,217,,,3,Flat 9
ALLSTC000100,NULL,1  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALLSTC000200,NULL,2  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALLSTC000300,NULL,3  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALLSTC000400,NULL,4  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALLSTC000500,NULL,5  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALLSTC000600,NULL,6  All Saints Court,Downshire Square,Reading                                           ,Berkshire                                         ,RG1 6NW,BF ,296,,,3,
ALPHAG000100,NULL,1  Alpha Grove,London,                                                  ,                                                  ,E14 8NZ,IF ,231,,,3,
ALPHAG000300,NULL,3  Alpha Grove,London,                                                  ,                                                  ,E14 8NZ,IF ,231,,,3,
ALPHAG000500,NULL,5  Alpha Grove,London,                                                  ,                                                  ,E14 8NZ,IF ,231,,,3,
ALPHAG000700,NULL,7  Alpha Grove,London,                                                  ,                                                  ,E14 8NZ,IF ,231,,,3,
ALPHAG001100,NULL,11  Alpha Grove,London,                                                  ,                                                  ,E14 8NZ,IF ,231,,,3,
